Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.29,-.05,-.14,-.16,-.24,-.22,-.30,-.42,-.39,-.27,***,***,-.19,-.18,-.31
1881,-.30,-.21,-.03,.01,.05,-.32,.10,-.02,-.25,-.42,-.35,-.22,-.16,-.18,-.30,.01,-.08,-.34
1882,.28,.24,.04,-.30,-.23,-.28,-.25,-.13,-.23,-.50,-.31,-.68,-.20,-.16,.10,-.16,-.22,-.35
1883,-.56,-.64,-.14,-.29,-.24,-.10,-.04,-.21,-.32,-.15,-.43,-.15,-.27,-.32,-.63,-.22,-.11,-.30
1884,-.16,-.11,-.63,-.59,-.36,-.40,-.43,-.49,-.44,-.44,-.56,-.46,-.42,-.40,-.14,-.53,-.44,-.48
1885,-1.00,-.44,-.22,-.47,-.56,-.43,-.31,-.38,-.37,-.34,-.36,-.09,-.41,-.44,-.63,-.42,-.37,-.36
1886,-.72,-.81,-.69,-.35,-.31,-.35,-.12,-.41,-.31,-.29,-.37,-.19,-.41,-.40,-.54,-.45,-.29,-.32
1887,-1.06,-.68,-.41,-.36,-.23,-.18,-.22,-.52,-.18,-.46,-.25,-.42,-.41,-.39,-.64,-.33,-.30,-.30
1888,-.46,-.59,-.61,-.19,-.13,-.01,.02,-.18,-.17,-.01,.02,-.21,-.21,-.23,-.49,-.31,-.06,-.05
1889,-.25,.32,-.01,.18,-.02,-.04,-.06,-.18,-.28,-.40,-.60,-.53,-.16,-.13,-.05,.05,-.10,-.42
1890,-.62,-.58,-.46,-.23,-.34,-.14,-.21,-.38,-.33,-.08,-.62,-.44,-.37,-.38,-.57,-.34,-.24,-.34
1891,-.44,-.66,-.14,-.34,-.14,-.11,-.10,-.11,-.06,-.26,-.51,-.02,-.24,-.27,-.52,-.20,-.10,-.28
1892,-.48,-.14,-.65,-.43,-.22,-.04,-.36,-.31,-.18,-.26,-.80,-.63,-.38,-.32,-.21,-.44,-.24,-.41
1893,-1.49,-.95,-.30,-.28,-.43,-.18,-.12,-.32,-.27,-.27,-.33,-.60,-.46,-.46,-1.02,-.34,-.21,-.29
1894,-.89,-.40,-.19,-.52,-.24,-.38,-.19,-.25,-.31,-.25,-.46,-.33,-.37,-.39,-.63,-.32,-.27,-.34
